АВС/ DEF;От;До;Емкость;Оператор;Регион
800;1000000;1009999;10000;Ростелеком;Российская Федерация, кроме Чеченской Республики (ЧР)
800;1010000;1019999;10000;Ростелеком;Уральский регион
800;1080000;1080000;1;Оптимал Коммьюникейшн;Российская Федерация, кроме Чукотского автономного округа
800;1110000;1119999;10000;Научно-производственное предприятие БИЗНЕС СВЯЗЬ ХОЛДИНГ;Москва
800;1234560;1234569;10;Межрегиональный ТранзитТелеком;Российская Федерация
800;1250000;1250999;1000;ТЕЛЕКОМ ТЗ;Москва и Московская область
800;1300111;1300111;1;ИнтерКамСервис;Камчатский край
800;1419494;1419494;1;ИнтерКамСервис;Камчатский край
800;1454455;1454455;1;Ростелеком;Российская Федерация
800;1550000;1550000;1;Ростелеком;Дальневосточный регион
800;1550155;1550155;1;Ростелеком;Дальневосточный регион
800;1550800;1550800;1;Ростелеком;Дальневосточный регион
800;1551111;1551111;1;Ростелеком;Дальневосточный регион
800;1552222;1552222;1;Ростелеком;Дальневосточный регион
800;1553333;1553333;1;Ростелеком;Дальневосточный регион
800;1555555;1555555;1;Ростелеком;Дальневосточный регион
800;1556666;1556666;1;Ростелеком;Дальневосточный регион
800;1558000;1558000;1;Ростелеком;Дальневосточный регион
800;1558888;1558888;1;Ростелеком;Дальневосточный регион
800;1811800;1811899;100;Ростелеком;Российская Федерация, кроме Чукотского автономного округа
800;2000000;2009999;10000;Ростелеком;Российская Федерация
800;2010000;2019999;10000;"междугородной и международной электрической связи ""Ростелеком";Москва
800;2020000;2020099;100;Наша сеть;Российская Федерация
800;2020202;2020202;1;Наша сеть;Российская Федерация
800;2020505;2020505;1;Наша сеть;Российская Федерация
800;2021111;2021111;1;Наша сеть;Российская Федерация
800;2022222;2022222;1;Наша сеть;Российская Федерация
800;2023333;2023333;1;Наша сеть;Российская Федерация
800;2024444;2024444;1;Наша сеть;Российская Федерация
800;2025555;2025555;1;Наша сеть;Российская Федерация
800;2026666;2026666;1;Наша сеть;Российская Федерация
800;2027777;2027777;1;Наша сеть;Российская Федерация
800;2028888;2028888;1;Наша сеть;Российская Федерация
800;2029999;2029999;1;Наша сеть;Российская Федерация
800;2200000;2200009;10;Ростелеком;Российская Федерация
800;2200022;2200022;1;Ростелеком;Российская Федерация
800;2200100;2200100;1;Ростелеком;Российская Федерация
800;2200111;2200111;1;Ростелеком;Российская Федерация
800;2200123;2200123;1;Ростелеком;Российская Федерация
800;2200200;2200200;1;Ростелеком;Российская Федерация
800;2200220;2200220;1;Ростелеком;Российская Федерация
800;2200222;2200222;1;Ростелеком;Российская Федерация
800;2200300;2200300;1;Ростелеком;Российская Федерация
800;2200333;2200333;1;Ростелеком;Российская Федерация
800;2200400;2200400;1;Ростелеком;Российская Федерация
800;2200444;2200444;1;Ростелеком;Российская Федерация
800;2200500;2200500;1;Ростелеком;Российская Федерация
800;2200555;2200555;1;Ростелеком;Российская Федерация
800;2200600;2200600;1;Ростелеком;Российская Федерация
800;2200666;2200666;1;Ростелеком;Российская Федерация
800;2200700;2200700;1;Ростелеком;Российская Федерация
800;2200777;2200777;1;Ростелеком;Российская Федерация
800;2200800;2200800;1;Ростелеком;Российская Федерация
800;2200888;2200888;1;Ростелеком;Российская Федерация
800;2200900;2200900;1;Ростелеком;Российская Федерация
800;2200999;2200999;1;Ростелеком;Российская Федерация
800;2201000;2201000;1;Ростелеком;Российская Федерация
800;2201111;2201111;1;Ростелеком;Российская Федерация
800;2201200;2201200;1;Ростелеком;Российская Федерация
800;2201220;2201220;1;Ростелеком;Российская Федерация
800;2201234;2201234;1;Ростелеком;Российская Федерация
800;2201520;2201520;1;Ростелеком;Российская Федерация
800;2202000;2202000;1;Ростелеком;Российская Федерация
